Id,Label,timeset,mode,act_type,nat,colour,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,pageranks,componentnumber,clustering,triangles,eigencentrality
German Government,,,1,German Government,GERMANY,"#717F75",2,3,6,0.351206,0.40229,384,0.013191,0.094848,6,0.006087,0,0,0,0.112112
Austria,,,1,Austria,AUSTRIA,"#944863",1,1,2,0.666667,0.75,0,0,0,2,0.004969,2,0,0,0.002001
Bundesminister des Auswärtigen,,,1,Bundesminister des Auswärtigen,GERMANY,"#717F75",1,1,6,0.318735,0.36285,0,0.007832,0.056317,3,0.003199,0,0,0,0.078667
EU Member States,,,1,EU Member States,EUROPEAN UNION,"#5C9A5C",1,1,6,0.318735,0.36285,0,0.007832,0.056317,3,0.003199,0,0,0,0.078667
Presidente della Regione Toscana,,,1,Presidente della Regione Toscana,ITALY,"#B85D6F",1,1,6,0.345646,0.393384,0,0.013026,0.093663,4,0.003245,0,0,0,0.108674
TIP S.p.A.,,,1,TIP S.p.A.,ITALY,"#B85D6F",1,1,6,0.345646,0.393384,0,0.013026,0.093663,4,0.003245,0,0,0,0.108674
Valls Manuel,,,1,Valls Manuel,FRANCE,"#6A886D",1,1,6,0.318735,0.36285,0,0.007832,0.056317,3,0.003199,0,0,0,0.078667
Mayor of Stazzema,,,1,Mayor of Stazzema,ITALY,"#B85D6F",1,1,6,0.318735,0.36285,0,0.007832,0.056317,3,0.003199,0,0,0,0.078667
Mayor of Cantagallo,,,1,Mayor of Cantagallo,ITALY,"#B85D6F",1,1,6,0.345646,0.393384,0,0.013026,0.093663,4,0.003245,0,0,0,0.108674
AlixPartners,,,1,AlixPartners,UNITED STATES,"#EF7DB1",1,1,6,0.345646,0.393384,0,0.013026,0.093663,4,0.003245,0,0,0,0.108674
EU Ministers for digitalisation,,,1,EU Ministers for digitalisation,EUROPEAN UNION,"#5C9A5C",1,1,6,0.318735,0.36285,0,0.007832,0.056317,3,0.003199,0,0,0,0.078667
Strauss-Kahn Dominique,,,1,Strauss-Kahn Dominique,FRANCE,"#6A886D",1,1,6,0.345646,0.393384,0,0.013026,0.093663,4,0.003245,0,0,0,0.108674
Agenzia Nazionale del Turismo,,,1,Agenzia Nazionale del Turismo,ITALY,"#B85D6F",1,1,6,0.318735,0.36285,0,0.007832,0.056317,3,0.003199,0,0,0,0.078667
Fondazione CERM,,,1,Fondazione CERM,ITALY,"#B85D6F",1,1,6,0.345646,0.393384,0,0.013026,0.093663,4,0.003245,0,0,0,0.108674
Germany,,,1,Germany,GERMANY,"#717F75",1,1,6,0.345646,0.393384,0,0.013026,0.093663,4,0.003245,0,0,0,0.108674
Greek Ministry of Foreign Affairs,,,1,Greek Ministry of Foreign Affairs,GREECE,"#78767D",1,1,6,0.345646,0.393384,0,0.013026,0.093663,4,0.003245,0,0,0,0.108674
Presidente della Regione Siciliana,,,1,Presidente della Regione Siciliana,ITALY,"#B85D6F",1,3,6,0.345646,0.393384,0,0.013026,0.093663,4,0.003245,0,0,0,0.108674
